"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","auc1","auc2","auc3","auc4","auc5","auc6","auc7","auc8","auc9","auc10"
"abs_f_diff_saldo_var5_saldo_medio_var5_hace2","num_of_used","num_var45_hace3","new_num_sum","var38","saldo_medio_var8_ult3","num_var42","abs_f_diff_imp_op_var41_efect_comer_ult1","var15_ratio","f_diff_var_15_var_38","f_ratio_num_var42_saldo_var42","f_diff_num_var45_ult13","f_num_3_sum_num","abs_f_ratio_num_var30_saldo_var30","saldo_var42","num_var5","f_diff_var_15_var_36_rank","num_meses_var39_vig_ult3","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_var35","f_diff_var_15_larger","new_num_group5_prcnt","nonzerocount.saldo","num_var22_ult1","var15","imp_op_var41_ult1","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","new_ind_var30_0","new_num_group5_sum","abs_f_diff_saldo_var5_42","0.833336","0.831199","0.837775","0.826838","0.822677","0.831302","0.838983","0.809746","0.83602","0.848663"
"saldo_var5","var38","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","imp_op_var39_efect_ult1","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","saldo_medio_var5_hace3","num_var30","f_diff_var_15_larger","f_diff_var_15_var_38","abs_f_ratio_num_var5_saldo_var5","new_ind_var30_0","saldo_var37","abs_f_ratio_num_var30_saldo_var30","num_var35","saldo_medio_var5_ult3","n0","f_diff_num_var30_4","num_meses_var39_vig_ult3","num_var4","f_diff_saldo_medio_var5_ult13","abs_f_diff_imp_op_var41_efect_comer_ult1","f_diff_saldo_var5_saldo_medio_var5_hace3","f_num_quan_70_sum_saldo","new_num_group5_prcnt","var15_ratio","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","var15","nonzerocount.num","f_diff_var_15_var_36_cutpoint_smaller","num_var22_ult1","0.843712","0.845029","0.818834","0.826756","0.840877","0.819119","0.841056","0.829071","0.835458","0.849857"
"f_diff_num_var30_4","num_of_used","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","max.saldo","f_diff_saldo_var5_saldo_medio_var5_hace2","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_saldo_medio_var5_ult13","new_num_var30_0","num_var22_ult3","new_ind_var30_0","f_diff_var_15_var_38","num_var45_hace3","new_num_sum","imp_op_var39_comer_ult3","num_med_var22_ult3","new_ind_var5_0","f_diff_saldo_var5_saldo_medio_var5_ult1","var15_ratio","new_num_var5_0","abs_f_diff_imp_op_var41_efect_comer_ult1","nonzerocount.saldo","f_ratio_num_var42_saldo_var42","abs_f_diff_num_var30_4","num_var30","n0","new_ind_sum","nonzerocount.num","abs_f_diff_saldo_medio_var5_8_ult11","num_quantile_diff_1","num_med_var45_ult3","0.843372","0.828573","0.83724","0.821037","0.836683","0.82966","0.838054","0.826541","0.835358","0.839966"
"f_diff_num_var30_4","new_ftr_ult1_ult3_ratio_num_var45","num_meses_var5_ult3","abs_f_ratio_num_var30_saldo_var30","new_num_var30_0","var15","nonzerocount.num","imp_op_var41_efect_ult3","new_num_sum","f_diff_saldo_medio_var5_8_ult11","f_num_quan_70_sum_saldo","new_num_prcnt","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","num_var22_hace3","n0","abs_f_diff_saldo_var5_42","num_var30","f_diff_var_15_var_36_rank","saldo_var42","new_ind_sum","max.saldo","num_var45_hace2","num_var42","imp_op_var41_comer_ult3","ind_var5","abs_f_diff_saldo_var5_30","var38_ratio","new_ftr_ult1_ult3_ratio_saldo_medio_var5","f_diff_saldo_medio_var5_ult13","saldo_medio_var5_hace3","0.841825","0.842184","0.839514","0.819325","0.831122","0.83168","0.841469","0.81639","0.821764","0.84932"
"saldo_var30","f_diff_var_15_var_36_rank","saldo_var5","new_num_prcnt","var38_ratio","num_quantile_diff_1","saldo_medio_var8_ult3","f_num_3_sum_num","f_diff_saldo_var5_saldo_medio_var5_hace2","var36","abs_f_ratio_num_var30_saldo_var30","abs_f_diff_saldo_var5_42","f_diff_imp_op_var39_comer_ult13","f_num_quan_70_sum_imp","abs_f_diff_num_var30_4","var15","new_ftr_ult1_ult3_ratio_num_var45","num_of_used","var15_ratio","num_var5","ind_comb_rank","saldo_medio_var5_ult1","f_diff_saldo_var5_saldo_medio_var5_hace3","new_ind_var30_0","saldo_var42","var38","f_diff_var_15_var_38","f_diff_saldo_medio_var5_8_ult11","f_diff_imp_op_var41_efect_comer_ult1","imp_trans_var37_ult1","0.830814","0.835612","0.837838","0.82153","0.835964","0.830252","0.839381","0.827897","0.82503","0.847755"
"new_ind_var5_0","num_of_used","var38_ratio","saldo_medio_var8_ult1","var36","f_diff_var_15_var_38","f_num_non_zero_sum_ind","f_diff_saldo_medio_var5_ult13","num_med_var22_ult3","num_meses_var5_ult3","abs_f_ratio_num_var30_saldo_var30","max.saldo","saldo_var30","saldo_medio_var5_ult3","abs_f_diff_saldo_var5_30","var15_ratio","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","new_num_var30_0","new_ftr_ult1_ult3_ratio_num_var22","nonzerocount.saldo","saldo_var42","new_num_group5_prcnt","saldo_medio_var5_hace3","new_num_sum","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","saldo_var5","ind_comb_rank","new_num_0_group5_sum","f_diff_var_15_var_36_less_60","f_diff_var_15_var_36_cutpoint_smaller","0.841832","0.823391","0.836777","0.8082","0.822529","0.829647","0.830784","0.810168","0.831846","0.82995"
"f_diff_num_var45_ult13","abs_f_diff_num_var30_4","f_num_non_zero_sum_ind","f_diff_var_15_var_36_cutpoint_smaller","num_var4","f_diff_var_15_var_38","var15","f_ratio_num_var42_saldo_var42","nonzerocount.num","num_of_used","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","sald0_quantile_diff_2","new_ind_sum","num_quantile_diff_3","f_diff_num_var30_4","var38_ratio","saldo_var30","var15_ratio","imp_op_var41_comer_ult3","sald0_quantile_diff_1","f_num_3_sum_num","max.saldo","new_num_sum","f_diff_saldo_var5_saldo_medio_var5_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","saldo_medio_var5_hace2","ind_comb_rank","num_var22_hace2","num_meses_var5_ult3","new_num_group5_prcnt","0.842808","0.841851","0.837191","0.818996","0.83666","0.829993","0.82122","0.824096","0.814131","0.834898"
"imp_op_var39_comer_ult3","f_diff_var_15_var_38","abs_f_ratio_num_var5_saldo_var5","f_diff_var_15_var_36_rank","new_num_var5_0","new_num_sum","new_ind_var5_0","num_var35","f_ratio_num_var42_saldo_var42","num_quantile_diff_1","var38_ratio","f_diff_var_15_var_36_less_60","abs_f_diff_saldo_medio_var5_8_ult11","imp_op_var41_efect_ult3","new_ftr_ult1_ult3_ratio_num_var22","num_var5","saldo_var8","abs_f_diff_saldo_var5_30","new_num_var30_0","max.saldo","sald0_quantile_diff_3","num_of_used","abs_f_diff_num_var30_4","f_diff_num_var22_ult3_num_med_var45_ult3","var36","num_var45_ult1","f_diff_saldo_medio_var5_8_ult11","saldo_var42","new_ftr_ult1_ult3_ratio_num_var45","f_diff_num_var30_4","0.819275","0.812459","0.838135","0.82711","0.836928","0.829232","0.836082","0.825578","0.832885","0.848136"
"num_var45_ult3","abs_f_diff_saldo_var5_42","new_num_var30_0","max.saldo","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","new_num_var5_0","imp_op_var41_comer_ult3","num_var45_hace2","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","num_of_used","num_var22_hace2","num_var45_ult1","abs_f_ratio_num_var30_saldo_var30","sald0_quantile_diff_2","new_num_group5_sum","f_diff_var_15_var_38","imp_op_var41_efect_ult1","saldo_var5","f_diff_var_15_var_36_rank","var38_ratio","abs_f_diff_saldo_medio_var5_ult13","saldo_var42","num_var35","nonzerocount.saldo","new_ftr_ult1_ult3_ratio_saldo_medio_var5","saldo_var30","var15","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","num_var4","imp_op_var41_comer_ult1","0.834241","0.830859","0.830232","0.820761","0.836279","0.832058","0.823037","0.82601","0.823673","0.846404"
"abs_f_diff_num_var30_4","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_diff_imp_op_var41_comer_ult13","abs_f_ratio_num_var5_saldo_var5","num_of_used","saldo_medio_var5_ult3","f_num_quan_70_sum_saldo","new_num_sum","f_diff_saldo_var5_saldo_medio_var5_hace2","imp_op_var39_efect_ult3","num_var5","f_diff_num_var22_ult3_num_med_var45_ult3","f_diff_saldo_var5_saldo_medio_var5_ult1","abs_f_diff_saldo_medio_var5_ult13","f_diff_var_15_larger","saldo_medio_var5_ult1","abs_f_diff_saldo_var5_30","nonzerocount.num","num_meses_var5_ult3","new_ind_var30_0","num_med_var45_ult3","var15","num_var30","saldo_var42","imp_op_var41_efect_ult3","max.saldo","f_diff_var_15_var_38","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","new_num_group5_prcnt","f_diff_var_15_var_36_cutpoint_smaller","0.842293","0.844193","0.838031","0.827299","0.837312","0.831954","0.841234","0.816091","0.834834","0.849684"
"f_diff_saldo_var5_saldo_medio_var5_hace2","num_var4","imp_op_var41_ult1","new_num_group5_prcnt","n0","num_meses_var5_ult3","nonzerocount.saldo","f_num_quan_70_sum_saldo","new_num_group5_sum","max.saldo","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","abs_f_diff_saldo_medio_var5_8_ult11","new_ind_var30_0","f_diff_saldo_var5_saldo_medio_var5_ult1","var38_ratio","num_var5","f_diff_num_var22_ult3_num_med_var45_ult3","var15_ratio","abs_f_diff_num_var22_ult3_num_med_var45_ult3","num_var22_ult3","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","saldo_medio_var8_ult1","new_num_var5_0","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","new_num_prcnt","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_var_15_var_36_less_60","saldo_var42","num_var45_hace2","new_ind_group5_sum","0.844177","0.843588","0.838515","0.829417","0.830408","0.831292","0.838989","0.826802","0.82303","0.83692"
"new_num_var30_0","abs_f_diff_saldo_var5_30","abs_f_diff_saldo_medio_var5_ult13","var15_ratio","var38","new_ind_var30_0","saldo_var37","saldo_var30","new_ind_group5_sum","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","imp_op_var41_efect_ult1","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","var38_ratio","f_diff_num_var45_ult13","f_diff_imp_op_var41_comer_ult13","new_num_var5_0","num_meses_var5_ult3","f_diff_num_var22_ult3_num_med_var45_ult3","num_var8_0","nonzerocount.saldo","num_med_var22_ult3","f_diff_var_15_larger","new_num_group5_prcnt","saldo_medio_var5_ult3","saldo_var5","imp_op_var39_comer_ult1","f_diff_var_15_var_36_cutpoint_smaller","var15","f_ratio_num_var42_saldo_var42","saldo_medio_var8_ult3","0.845432","0.838933","0.832381","0.823725","0.839055","0.833014","0.840393","0.828154","0.836276","0.832051"
"saldo_var8","abs_f_diff_saldo_var5_30","imp_trans_var37_ult1","f_diff_num_var45_ult13","f_diff_var_15_larger","num_var45_ult3","f_num_quan_70_sum_saldo","f_diff_var_15_var_36_less_60","saldo_var42","abs_f_ratio_num_var5_saldo_var5","ind_comb_rank","new_ftr_ult1_ult3_ratio_num_var45","saldo_medio_var5_ult3","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","var38_ratio","num_var30","saldo_medio_var5_hace2","saldo_var37","num_var42","ind_var5","saldo_var30","num_meses_var5_ult3","new_ind_sum","f_diff_saldo_var5_saldo_medio_var5_hace3","f_num_3_sum_num","var15_ratio","new_num_group5_prcnt","num_var4","new_num_var5_0","abs_f_diff_saldo_medio_var5_8_ult11","0.833147","0.830856","0.837156","0.811664","0.826546","0.828549","0.837992","0.808098","0.830916","0.833708"
"abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_var22_hace2","sald0_quantile_diff_1","saldo_var30","var15_ratio","new_num_prcnt","new_ind_var30_0","f_diff_var_15_var_36_less_60","abs_f_ratio_num_var5_saldo_var5","max.saldo","ind_var5","var36","abs_f_ratio_num_var30_saldo_var30","var38","saldo_medio_var5_ult3","f_diff_saldo_medio_var5_8_ult11","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_saldo_var5_saldo_medio_var5_hace2","sald0_quantile_diff_3","abs_f_diff_saldo_medio_var5_8_ult11","f_diff_var_15_var_38","abs_f_diff_num_var30_4","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","n0","var38_ratio","abs_f_diff_saldo_var5_42","new_ind_sum","f_diff_var_15_var_36_cutpoint_smaller","new_ind_var5_0","f_diff_var_15_larger","0.840051","0.818562","0.833256","0.82311","0.820824","0.828773","0.836836","0.810046","0.831222","0.829746"
"abs_f_diff_saldo_var5_saldo_medio_var5_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","new_num_sum","saldo_var5","new_ftr_ult1_ult3_ratio_saldo_medio_var5","num_var30","saldo_medio_var5_hace2","f_diff_num_var30_4","abs_f_ratio_num_var30_saldo_var30","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","imp_ent_var16_ult1","f_diff_imp_op_var41_efect_comer_ult1","imp_op_var41_comer_ult1","abs_f_diff_num_var30_4","max.saldo","abs_f_diff_saldo_medio_var5_ult13","saldo_var30","n0","f_diff_saldo_var5_saldo_medio_var5_hace2","f_diff_var_15_var_36_rank","num_of_used","new_ftr_ult1_ult3_ratio_num_var22","f_diff_num_var45_ult13","var36","ind_var30","num_quantile_diff_3","var38","f_diff_var_15_larger","imp_op_var39_efect_ult1","saldo_var37","0.827354","0.839994","0.82115","0.802711","0.827198","0.807711","0.817825","0.823282","0.819589","0.828264"
"abs_f_diff_num_var30_4","sald0_quantile_diff_1","f_diff_var_15_var_36_cutpoint_smaller","new_num_group5_sum","f_diff_var_15_var_36_less_60","ind_comb_rank","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_saldo_var5_saldo_medio_var5_hace3","f_num_non_zero_sum_ind","var15_ratio","saldo_medio_var5_ult3","saldo_medio_var5_ult1","new_ftr_ult1_ult3_ratio_num_var22","sald0_quantile_diff_3","new_ind_var30_0","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","abs_f_ratio_num_var30_saldo_var30","saldo_var30","num_var45_hace2","num_var42","num_var22_ult3","saldo_var42","num_of_used","ind_var5","new_num_prcnt","f_num_quan_70_sum_saldo","saldo_medio_var5_hace2","f_diff_num_var22_ult3_num_med_var45_ult3","abs_f_diff_num_var22_ult3_num_med_var45_ult3","new_num_group5_prcnt","0.825091","0.826952","0.8254","0.809435","0.819251","0.806011","0.812113","0.800186","0.826093","0.827275"
"abs_f_diff_num_var30_4","num_quantile_diff_3","f_diff_var_15_larger","saldo_medio_var5_ult1","var38","f_diff_var_15_var_36_rank","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","nonzerocount.saldo","num_var5","f_num_quan_70_sum_saldo","num_var22_ult3","saldo_medio_var5_ult3","new_ind_group5_sum","num_of_used","var15","ind_var30","new_ind_0_group5_sum","f_ratio_num_var42_saldo_var42","f_diff_var_15_var_36_less_60","new_num_group5_sum","saldo_var30","new_num_sum","new_num_prcnt","saldo_var5","f_diff_var_15_var_38","saldo_medio_var8_ult1","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","new_ind_sum","num_med_var22_ult3","abs_f_ratio_num_var5_saldo_var5","0.835164","0.82845","0.836518","0.82622","0.83544","0.815139","0.839285","0.824335","0.835047","0.834688"
"f_diff_var_15_var_36_rank","new_ind_0_group5_sum","new_ind_var30_0","imp_op_var41_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","abs_f_diff_saldo_var5_30","saldo_var8","new_num_group5_sum","f_diff_saldo_var5_saldo_medio_var5_hace2","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","imp_op_var39_comer_ult1","new_num_var30_0","new_num_0_group5_sum","abs_f_diff_num_var30_4","new_ftr_ult1_ult3_ratio_num_var45","sald0_quantile_diff_3","f_diff_saldo_medio_var5_ult13","ind_comb_rank","abs_f_diff_saldo_var5_42","f_ratio_num_var42_saldo_var42","var15","num_meses_var5_ult3","num_quantile_diff_3","f_num_3_sum_num","ind_var30","imp_op_var41_efect_ult1","new_ind_var5_0","var38_ratio","0.838613","0.840564","0.838148","0.824043","0.817383","0.829531","0.839373","0.81048","0.831882","0.831018"
"ind_var5","ind_comb_rank","abs_f_ratio_num_var30_saldo_var30","var15","num_meses_var5_ult3","new_ind_sum","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_diff_saldo_var5_saldo_medio_var5_hace3","num_meses_var39_vig_ult3","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","saldo_medio_var5_ult1","f_diff_imp_op_var41_efect_comer_ult1","num_var45_hace2","new_num_var30_0","num_var22_hace3","new_num_group5_prcnt","f_diff_num_var22_ult3_num_med_var45_ult3","f_diff_var_15_var_36_cutpoint_smaller","saldo_var30","saldo_var42","f_diff_var_15_var_38","new_ftr_ult1_ult3_ratio_num_var22","saldo_medio_var5_hace3","max.saldo","var38_ratio","new_ftr_ult1_ult3_ratio_num_var45","new_ind_0_group5_sum","var36","num_var22_ult3","ind_var8_0","0.829196","0.844389","0.839667","0.814224","0.820268","0.831975","0.839692","0.829318","0.826579","0.849972"
"n0","num_var22_ult3","num_var4","f_diff_saldo_var5_saldo_medio_var5_hace2","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","new_ftr_ult1_ult3_ratio_num_var45","f_num_non_zero_sum_ind","var38","f_ratio_num_var42_saldo_var42","f_num_3_sum_num","saldo_medio_var5_hace3","f_diff_var_15_var_36_rank","f_diff_num_var30_4","imp_trans_var37_ult1","new_ftr_ult1_ult3_ratio_num_var22","f_diff_saldo_medio_var5_8_ult11","new_num_sum","saldo_medio_var5_ult3","saldo_medio_var5_ult1","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","saldo_var30","f_diff_var_15_var_36_cutpoint_smaller","num_var30","var15","sald0_quantile_diff_1","num_var45_ult3","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","nonzerocount.num","f_diff_var_15_larger","new_ind_sum","0.842166","0.841747","0.819653","0.810998","0.821385","0.83049","0.839386","0.804368","0.834492","0.848638"
"imp_ent_var16_ult1","abs_f_ratio_num_var30_saldo_var30","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","new_num_prcnt","ind_comb_rank","f_diff_num_var22_ult3_num_med_var45_ult3","new_ind_0_group5_sum","var15","f_diff_num_var30_4","var38_ratio","f_diff_saldo_var5_saldo_medio_var5_hace2","abs_f_diff_imp_op_var41_efect_comer_ult1","num_meses_var5_ult3","sald0_quantile_diff_1","n0","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_var_15_var_36_less_60","new_ftr_ult1_ult3_ratio_saldo_medio_var5","new_ind_var30_0","num_var22_hace2","var15_ratio","num_var4","num_var30","new_num_group5_prcnt","nonzerocount.num","saldo_var37","imp_op_var41_efect_ult3","saldo_medio_var5_ult1","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","abs_f_diff_saldo_medio_var5_ult13","0.833881","0.834975","0.836381","0.820174","0.837942","0.831261","0.816652","0.827685","0.824552","0.839142"
"abs_f_diff_saldo_var5_saldo_medio_var5_hace3","num_meses_var5_ult3","var38","var15","num_var5","new_ind_var30_0","ind_comb_rank","num_quantile_diff_3","f_diff_var_15_var_38","imp_op_var41_ult1","num_var35","saldo_medio_var5_ult1","f_num_non_zero_sum_ind","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","nonzerocount.saldo","f_diff_saldo_var5_saldo_medio_var5_hace2","ind_var5","saldo_medio_var5_hace3","f_diff_var_15_var_36_less_60","num_meses_var39_vig_ult3","num_of_used","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","saldo_var30","imp_op_var41_comer_ult3","nonzerocount.num","f_diff_num_var45_ult13","abs_f_diff_saldo_medio_var5_ult13","imp_op_var39_efect_ult3","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_diff_imp_op_var39_comer_ult13","0.841294","0.843398","0.830133","0.826746","0.837344","0.831037","0.839691","0.826798","0.8356","0.84757"
"f_diff_var_15_var_38","new_num_var5_0","abs_f_diff_saldo_var5_42","var38","f_num_non_zero_sum_ind","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_var45_hace3","nonzerocount.saldo","f_diff_saldo_var5_saldo_medio_var5_hace2","abs_f_diff_num_var30_4","abs_f_diff_saldo_medio_var5_8_ult11","abs_f_diff_saldo_var5_30","f_diff_num_var45_ult13","max.saldo","imp_ent_var16_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","var15_ratio","imp_op_var39_efect_ult3","f_num_quan_70_sum_saldo","f_diff_var_15_var_36_cutpoint_smaller","saldo_medio_var5_ult1","new_ftr_ult1_ult3_ratio_saldo_medio_var5","f_diff_saldo_medio_var5_ult13","new_num_group5_prcnt","f_diff_saldo_var5_saldo_medio_var5_hace3","num_var45_hace2","saldo_var5","f_diff_var_15_var_36_less_60","imp_op_var39_comer_ult1","saldo_medio_var5_hace2","0.840097","0.842383","0.811407","0.820575","0.836059","0.829392","0.837962","0.824663","0.833235","0.847559"
"ind_comb_rank","var15_ratio","num_var35","max.saldo","num_meses_var5_ult3","num_of_used","f_diff_var_15_var_36_less_60","num_var30","saldo_medio_var5_ult1","saldo_var42","new_ftr_ult1_ult3_ratio_saldo_medio_var5","new_num_prcnt","new_num_sum","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","abs_f_diff_saldo_medio_var5_ult13","n0","ind_var30","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","saldo_medio_var5_ult3","abs_f_diff_saldo_medio_var5_8_ult11","f_diff_num_var30_4","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","f_diff_saldo_medio_var5_8_ult11","abs_f_ratio_num_var5_saldo_var5","f_ratio_num_var42_saldo_var42","abs_f_diff_saldo_var5_30","sald0_quantile_diff_3","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","abs_f_ratio_num_var30_saldo_var30","f_num_3_sum_num","0.825807","0.823706","0.813713","0.807143","0.827651","0.805185","0.815382","0.816062","0.813189","0.832918"
"ind_var30","num_var42","new_ind_var5_0","abs_f_diff_num_var30_4","nonzerocount.saldo","f_diff_saldo_var5_saldo_medio_var5_ult1","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_var_15_larger","f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_var_15_var_36_rank","ind_comb_rank","var15_ratio","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","num_var4","f_diff_num_var30_4","imp_op_var41_comer_ult1","sald0_quantile_diff_2","var15","new_num_var30_0","var38","saldo_medio_var8_ult1","new_num_sum","f_diff_var_15_var_36_cutpoint_smaller","saldo_medio_var5_hace2","num_var22_ult3","f_diff_var_15_var_36_less_60","max.saldo","new_ftr_ult1_ult3_ratio_saldo_medio_var5","num_var30","num_var35","0.838235","0.83885","0.833645","0.824576","0.823201","0.808403","0.837058","0.805309","0.832282","0.827264"
"num_meses_var39_vig_ult3","nonzerocount.saldo","saldo_var30","var38_ratio","f_diff_var_15_var_36_rank","num_of_used","num_var35","n0","f_num_non_zero_sum_ind","abs_f_ratio_num_var5_saldo_var5","new_ind_sum","f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","sald0_quantile_diff_3","imp_op_var41_ult1","f_diff_saldo_medio_var5_ult13","num_var45_hace3","var38","num_var22_ult1","num_var45_ult1","var15_ratio","max.saldo","f_diff_var_15_var_38","new_num_var30_0","ind_var30","f_num_quan_70_sum_saldo","saldo_var8","nonzerocount.num","var15","f_diff_num_var30_4","0.835154","0.831659","0.840193","0.828022","0.838513","0.831795","0.840968","0.82943","0.826549","0.841133"
"sald0_quantile_diff_2","saldo_var5","sald0_quantile_diff_1","ind_var30","var38","f_diff_var_15_var_38","new_num_sum","num_of_used","new_num_prcnt","new_ind_sum","f_diff_var_15_var_36_less_60","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","saldo_var37","var15_ratio","abs_f_diff_num_var22_ult3_num_med_var45_ult3","saldo_medio_var5_ult3","f_diff_num_var45_ult13","num_var35","f_num_3_sum_num","new_num_group5_prcnt","f_diff_var_15_var_36_rank","saldo_var42","ind_comb_rank","num_meses_var5_ult3","new_ind_group5_sum","imp_trans_var37_ult1","f_diff_saldo_medio_var5_8_ult11","imp_op_var41_efect_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","f_diff_num_var30_4","0.832554","0.84247","0.83434","0.827126","0.836586","0.831832","0.837938","0.825157","0.832234","0.847521"
"saldo_var5","f_diff_var_15_larger","num_var4","f_diff_var_15_var_36_rank","num_var30","new_ind_var30_0","saldo_var42","abs_f_diff_num_var22_ult3_num_med_var45_ult3","num_quantile_diff_3","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","imp_op_var41_ult1","f_num_3_sum_num","num_var35","ind_var5","saldo_var30","f_diff_var_15_var_38","saldo_medio_var8_ult1","f_diff_imp_op_var41_efect_ult13","ind_comb_rank","f_diff_saldo_var5_saldo_medio_var5_hace2","new_num_sum","f_diff_saldo_var5_saldo_medio_var5_hace3","new_num_var5_0","f_diff_num_var45_ult13","saldo_medio_var5_ult3","new_num_var30_0","var36","f_diff_saldo_var5_saldo_medio_var5_ult1","new_num_prcnt","abs_f_ratio_num_var5_saldo_var5","0.825874","0.820603","0.838868","0.811039","0.836749","0.827595","0.816041","0.824325","0.832872","0.831412"
"nonzerocount.saldo","f_diff_num_var30_4","new_ind_var30_0","new_ind_0_group5_sum","num_var30","new_num_var30_0","f_diff_num_var22_ult3_num_med_var45_ult3","num_var22_hace2","f_diff_saldo_var5_saldo_medio_var5_ult1","saldo_medio_var5_hace3","saldo_var8","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_quantile_diff_3","abs_f_diff_saldo_var5_42","sald0_quantile_diff_2","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_var_15_var_36_cutpoint_smaller","abs_f_diff_saldo_medio_var5_8_ult11","f_ratio_num_var42_saldo_var42","imp_op_var39_ult1","abs_f_ratio_num_var30_saldo_var30","f_diff_imp_op_var41_comer_ult13","abs_f_diff_saldo_var5_30","num_var22_hace3","f_diff_saldo_medio_var5_8_ult11","abs_f_ratio_num_var5_saldo_var5","num_meses_var5_ult3","new_ind_group5_sum","max.saldo","var15","0.834824","0.817632","0.833563","0.813852","0.822946","0.815011","0.821041","0.819184","0.824053","0.83172"
